index_i,index_j,geodesique_km,routier_km,asymetrie_km,ratio
34,37,116.878,150.83,8.28,1.2905
34,38,114.523,149.725,8.79,1.3074
34,43,150.834,194.035,8.79,1.2864
34,44,111.655,139.18,8.6,1.2465
34,45,126.694,157.68,9.3,1.2446
34,49,197.242,245.6,9.3,1.2452
34,50,195.476,255.42,12.58,1.3067
34,52,85.737,134.18,1.38,1.565
34,55,83.132,116.275,0.19,1.3987
34,59,89.948,121.285,0.13,1.3484
34,60,88.817,153.06,0.84,1.7233
34,62,106.594,157.99,0.3,1.4822
34,65,120.58,190.15,0.38,1.577
34,68,142.406,185.93,0.2,1.3056
34,69,204.056,249.295,0.33,1.2217
34,70,197.436,241.22,0.14,1.2218
34,73,212.494,266.415,4.97,1.2538
34,76,171.257,221.615,0.21,1.294
34,78,121.152,170.9,1.02,1.4106
34,79,105.206,130.015,3.91,1.2358
34,80,148.957,217.625,0.93,1.461
34,81,126.827,199.595,1.03,1.5738
34,82,240.52,310.95,0.88,1.2928
34,84,274.645,352.355,0.95,1.2829
34,85,211.225,280.6,0.86,1.3284
34,89,330.179,426.6,0.76,1.292
34,90,313.941,406.635,0.69,1.2953
34,91,300.009,376.945,0.21,1.2564
34,96,406.516,513.995,0.15,1.2644
34,97,393.297,504.52,0.16,1.2828
34,98,304.068,434.665,0.51,1.4295
34,99,335.47,473.965,0.57,1.4128
34,101,385.274,526.79,0.56,1.3673
35,36,47.796,62.38,0.02,1.3051
35,37,113.225,176.565,8.31,1.5594
35,38,114.313,175.455,8.81,1.5349
35,43,161.388,219.765,8.81,1.3617
35,44,123.614,164.91,8.62,1.3341
35,45,140.31,183.405,9.33,1.3071
35,49,214.135,271.335,9.33,1.2671
35,50,214.775,281.145,12.61,1.309
35,52,110.367,159.91,1.4,1.4489
35,55,108.015,142.005,0.21,1.3147
35,59,114.895,147.015,0.15,1.2796
35,60,112.123,178.785,0.87,1.5945
35,62,130.287,183.725,0.33,1.4102
35,65,141.748,215.88,0.4,1.523
35,68,166.066,211.66,0.22,1.2746
35,69,227.207,275.02,0.36,1.2104
35,70,220.565,266.95,0.16,1.2103
35,73,235.849,292.145,5.01,1.2387
35,76,193.762,247.34,0.24,1.2765
35,78,146.18,196.63,1.0,1.3451
35,79,129.156,155.75,3.88,1.2059
35,80,173.057,243.36,0.9,1.4062
35,81,151.298,225.33,1.0,1.4893
35,82,263.938,336.68,0.86,1.2756
35,84,298.111,378.08,0.92,1.2683
35,85,236.142,306.33,0.84,1.2972
35,89,354.26,452.335,0.79,1.2768
35,90,338.867,432.36,0.72,1.2759
35,91,324.721,402.675,0.23,1.2401
35,96,430.023,539.73,0.18,1.2551
35,97,417.046,530.25,0.2,1.2714
35,98,328.795,460.395,0.53,1.4002
